tag_ident,Gender,Date,Hour,Distance,Season,month-day
1751,m,6/7/2011,2,199.902003,Spring,7-Jun
1751,m,6/7/2011,3,42.19435048,Spring,7-Jun
1751,m,6/7/2011,4,0.542994733,Spring,7-Jun
1751,m,6/7/2011,17,80.72960551,Spring,7-Jun
1751,m,6/7/2011,18,78.66041308,Spring,7-Jun
1751,m,6/7/2011,19,136.0996663,Spring,7-Jun
1751,m,6/7/2011,20,181.5869661,Spring,7-Jun
1751,m,6/7/2011,21,206.0952267,Spring,7-Jun
1751,m,6/7/2011,22,65.45714332,Spring,7-Jun
1751,m,6/7/2011,23,89.56199968,Spring,7-Jun
1751,m,6/8/2011,0,64.48351231,Spring,8-Jun
1751,m,6/8/2011,1,528.7085521,Spring,8-Jun
1751,m,6/8/2011,2,213.604336,Spring,8-Jun
1751,m,6/8/2011,3,65.06220122,Spring,8-Jun
1751,m,6/8/2011,4,0.499611715,Spring,8-Jun
1751,m,6/8/2011,17,183.3909871,Spring,8-Jun
1751,m,6/8/2011,18,46.13148776,Spring,8-Jun
1751,m,6/8/2011,19,231.5353232,Spring,8-Jun
1751,m,6/8/2011,20,588.4104954,Spring,8-Jun
1751,m,6/8/2011,21,404.4051661,Spring,8-Jun
1751,m,6/8/2011,22,296.5638409,Spring,8-Jun
1751,m,6/8/2011,23,61.61010778,Spring,8-Jun
1751,m,6/9/2011,0,367.0674787,Spring,9-Jun
1751,m,6/9/2011,1,273.3148511,Spring,9-Jun
1751,m,6/9/2011,2,1172.210472,Spring,9-Jun
1751,m,6/9/2011,3,75.21070594,Spring,9-Jun
1751,m,6/9/2011,4,0.5354119,Spring,9-Jun
1751,m,6/9/2011,17,17.3130408,Spring,9-Jun
1751,m,6/9/2011,18,23.43585238,Spring,9-Jun
1751,m,6/9/2011,19,20.27327608,Spring,9-Jun
